Datetime, Temperature;
17/7/2016 02:15;20,201
17/7/2016 02:30;20,189
17/7/2016 02:45;20,268
17/7/2016 03:00;20,252
17/7/2016 03:15;20,309
17/7/2016 03:30;20,175
17/7/2016 03:45;20,041
17/7/2016 04:00;20,279
17/7/2016 04:15;20,371
17/7/2016 04:30;20,395
17/7/2016 04:45;20,354
17/7/2016 05:00;20,345
17/7/2016 05:15;20,389
17/7/2016 05:30;20,322
17/7/2016 05:45;20,261
17/7/2016 06:00;20,216
17/7/2016 06:15;20,179
17/7/2016 06:30;20,022
17/7/2016 06:45;19,954
17/7/2016 07:00;19,982
17/7/2016 07:15;20,046
17/7/2016 07:30;20,740
17/7/2016 07:45;20,977
17/7/2016 08:00;20,811
17/7/2016 08:15;20,982
17/7/2016 08:30;21,511
17/7/2016 08:45;21,791
17/7/2016 09:00;21,966
17/7/2016 09:15;22,499
17/7/2016 09:30;23,019
17/7/2016 09:45;23,583
17/7/2016 10:00;22,557
17/7/2016 10:15;22,582
17/7/2016 10:30;23,019
17/7/2016 10:45;22,690
17/7/2016 11:00;22,524
17/7/2016 11:15;23,695
17/7/2016 11:30;25,197
17/7/2016 11:45;24,260
17/7/2016 12:00;23,923
17/7/2016 12:15;24,768
17/7/2016 12:30;25,557
17/7/2016 12:45;26,642
17/7/2016 13:00;26,580
17/7/2016 13:15;26,156
17/7/2016 13:30;25,873
17/7/2016 13:45;26,118
17/7/2016 14:00;25,840
17/7/2016 14:15;27,014
17/7/2016 14:30;26,459
17/7/2016 14:45;25,869
17/7/2016 15:00;26,060
17/7/2016 15:15;25,966
17/7/2016 15:30;26,141
17/7/2016 15:45;26,780
17/7/2016 16:00;26,492
17/7/2016 16:15;26,039
17/7/2016 16:30;25,914
17/7/2016 16:45;25,963
17/7/2016 17:00;25,585
17/7/2016 17:15;25,381
17/7/2016 17:30;25,153
17/7/2016 17:45;24,837
17/7/2016 18:00;24,582
17/7/2016 18:15;24,410
17/7/2016 18:30;24,092
17/7/2016 18:45;25,118
17/7/2016 19:00;24,061
17/7/2016 19:15;23,557
17/7/2016 19:30;22,851
17/7/2016 19:45;22,437
17/7/2016 20:00;22
17/7/2016 20:15;21,708
17/7/2016 20:30;21,513
17/7/2016 20:45;21,293
17/7/2016 21:00;21,079
17/7/2016 21:15;20,884
17/7/2016 21:30;20,783
17/7/2016 21:45;20,737
17/7/2016 22:00;20,697
17/7/2016 22:15;20,657
17/7/2016 22:30;20,664
17/7/2016 22:45;20,618
17/7/2016 23:00;20,609
17/7/2016 23:15;20,602
17/7/2016 23:30;20,607
17/7/2016 23:45;20,567
18/7/2016 00:00;20,619
18/7/2016 00:15;20,680
18/7/2016 00:30;20,688
18/7/2016 00:45;20,681
18/7/2016 01:00;20,622
18/7/2016 01:15;20,595
18/7/2016 01:30;20,585
18/7/2016 01:45;20,494
18/7/2016 02:00;20,441
18/7/2016 02:15;20,529
18/7/2016 02:30;20,627
18/7/2016 02:45;20,638
18/7/2016 03:00;20,657
18/7/2016 03:15;20,658
18/7/2016 03:30;20,612
18/7/2016 03:45;20,612
18/7/2016 04:00;20,644
18/7/2016 04:15;20,652
18/7/2016 04:30;20,672
18/7/2016 04:45;20,702
18/7/2016 05:00;20,688
18/7/2016 05:15;20,684
18/7/2016 05:30;20,639
18/7/2016 05:45;20,635
18/7/2016 06:00;20,625
18/7/2016 06:15;20,628
18/7/2016 06:30;20,655
18/7/2016 06:45;20,737
18/7/2016 07:00;20,893
18/7/2016 07:15;22,118
18/7/2016 07:30;23,259
18/7/2016 07:45;22,832
18/7/2016 08:00;22,744
18/7/2016 08:15;22,852
18/7/2016 08:30;23,056
18/7/2016 08:45;23,438
18/7/2016 09:00;23,891
18/7/2016 09:15;24,216
18/7/2016 09:30;24,500
18/7/2016 09:45;24,759
18/7/2016 10:00;25,126
18/7/2016 10:15;25,455
18/7/2016 10:30;25,638
18/7/2016 10:45;25,867
18/7/2016 11:00;27,644
18/7/2016 11:15;27,968
18/7/2016 11:30;28,345
18/7/2016 11:45;26,914
18/7/2016 12:00;26,455
18/7/2016 12:15;26,302
18/7/2016 12:30;26,227
18/7/2016 12:45;27,581
18/7/2016 13:00;26,866
18/7/2016 13:15;26,726
18/7/2016 13:30;25,968
18/7/2016 13:45;25,576
18/7/2016 14:00;25,614
18/7/2016 14:15;25,962
18/7/2016 14:30;27,082
18/7/2016 14:45;27,299
18/7/2016 15:00;27,787
18/7/2016 15:15;27,727
18/7/2016 15:30;27,189
18/7/2016 15:45;28,032
18/7/2016 16:00;27,837
